number,value,datetime_start,datetime_complete,duration,params_gb_learning_rate,params_gb_max_depth,params_gb_min_samples_leaf,params_gb_n_estimators,params_gb_subsample,params_lr_C,params_lr_solver,params_model_type,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_log_loss_std,user_attrs_model_type,state
15,1.1001861048667452,2026-02-27 17:38:25.946796,2026-02-27 17:38:28.450478,0 days 00:00:02.503682,,,,,,,,RandomForest,3.0,log2,28.0,30.0,600.0,0.0047540433070781965,RandomForest,COMPLETE
16,1.148860850334711,2026-02-27 17:38:28.451492,2026-02-27 17:38:29.359007,0 days 00:00:00.907515,0.28352587842331306,6.0,27.0,300.0,0.8066305882008067,,,GradientBoosting,,,,,,0.08010997140934216,GradientBoosting,COMPLETE
17,1.1001861048667452,2026-02-27 17:38:29.359990,2026-02-27 17:38:31.738425,0 days 00:00:02.378435,,,,,,,,RandomForest,3.0,log2,49.0,30.0,600.0,0.004754043307078266,RandomForest,COMPLETE
18,1.1012315257442977,2026-02-27 17:38:31.740073,2026-02-27 17:38:33.531010,0 days 00:00:01.790937,,,,,,,,RandomForest,15.0,,27.0,21.0,450.0,0.006155230104755792,RandomForest,COMPLETE
19,1.1441753770767509,2026-02-27 17:38:33.533018,2026-02-27 17:38:34.741107,0 days 00:00:01.208089,0.03599554864219772,2.0,28.0,400.0,0.7911302960155628,,,GradientBoosting,,,,,,0.09716178325922442,GradientBoosting,COMPLETE
20,1.1000452402259364,2026-02-27 17:38:34.742156,2026-02-27 17:38:37.930451,0 days 00:00:03.188295,,,,,,,,RandomForest,7.0,log2,29.0,30.0,700.0,0.004219606632300023,RandomForest,COMPLETE
21,1.0995122776422037,2026-02-27 17:38:37.931113,2026-02-27 17:38:40.730265,0 days 00:00:02.799152,,,,,,,,RandomForest,7.0,log2,28.0,30.0,650.0,0.003580723830911027,RandomForest,COMPLETE
22,1.1001861048667452,2026-02-27 17:38:40.730833,2026-02-27 17:38:43.061645,0 days 00:00:02.330812,,,,,,,,RandomForest,8.0,log2,26.0,30.0,600.0,0.0047540433070781965,RandomForest,COMPLETE
23,1.1000452402259364,2026-02-27 17:38:43.062650,2026-02-27 17:38:45.841718,0 days 00:00:02.779068,,,,,,,,RandomForest,3.0,log2,33.0,23.0,700.0,0.00421960663230001,RandomForest,COMPLETE
24,1.0997369512154314,2026-02-27 17:38:45.842225,2026-02-27 17:38:48.040278,0 days 00:00:02.198053,,,,,,,,RandomForest,11.0,log2,26.0,30.0,550.0,0.003979274655602802,RandomForest,COMPLETE
25,1.0995122776422037,2026-02-27 17:38:48.041327,2026-02-27 17:38:50.801701,0 days 00:00:02.760374,,,,,,,,RandomForest,7.0,log2,36.0,24.0,650.0,0.003580723830911049,RandomForest,COMPLETE
26,1.0977363849565427,2026-02-27 17:38:50.803740,2026-02-27 17:38:54.061801,0 days 00:00:03.258061,,,,,,,,RandomForest,6.0,,23.0,30.0,800.0,,,PRUNED
27,1.1004525529820584,2026-02-27 17:38:54.062829,2026-02-27 17:38:56.068422,0 days 00:00:02.005593,,,,,,,,RandomForest,9.0,log2,34.0,24.0,500.0,0.005149061826381022,RandomForest,COMPLETE
28,1.1492913441290469,2026-02-27 17:38:56.068945,2026-02-27 17:38:58.087103,0 days 00:00:02.018158,0.026790681928799312,7.0,16.0,600.0,0.8915855181058915,,,GradientBoosting,,,,,,0.08905640257943544,GradientBoosting,COMPLETE
29,1.2566750053330267,2026-02-27 17:38:58.087758,2026-02-27 17:38:58.106482,0 days 00:00:00.018724,,,,,,1.2777680318134705,lbfgs,LogisticRegression,,,,,,0.37929428713224,LogisticRegression,COMPLETE
30,1.0995122776422037,2026-02-27 17:38:58.107474,2026-02-27 17:39:00.854525,0 days 00:00:02.747051,,,,,,,,RandomForest,5.0,log2,24.0,30.0,650.0,0.003580723830911049,RandomForest,COMPLETE
31,1.0995122776422037,2026-02-27 17:39:00.854525,2026-02-27 17:39:03.600251,0 days 00:00:02.745726,,,,,,,,RandomForest,7.0,log2,36.0,23.0,650.0,0.0035807238309110254,RandomForest,COMPLETE
32,1.0995122776422037,2026-02-27 17:39:03.601286,2026-02-27 17:39:06.219561,0 days 00:00:02.618275,,,,,,,,RandomForest,7.0,log2,37.0,25.0,650.0,0.003580723830911027,RandomForest,COMPLETE
33,1.0995122776422037,2026-02-27 17:39:06.220072,2026-02-27 17:39:08.735391,0 days 00:00:02.515319,,,,,,,,RandomForest,8.0,log2,33.0,25.0,650.0,0.003580723830911049,RandomForest,COMPLETE
34,1.0995122776422037,2026-02-27 17:39:08.736890,2026-02-27 17:39:11.287834,0 days 00:00:02.550944,,,,,,,,RandomForest,6.0,log2,44.0,30.0,650.0,0.0035807238309110393,RandomForest,COMPLETE
35,1.100186104866745,2026-02-27 17:39:11.287834,2026-02-27 17:39:13.784492,0 days 00:00:02.496658,,,,,,,,RandomForest,3.0,log2,31.0,25.0,600.0,0.004754043307078297,RandomForest,COMPLETE
36,1.302786274099503,2026-02-27 17:39:13.785495,2026-02-27 17:39:13.794871,0 days 00:00:00.009376,,,,,,1.9456537996334313,saga,LogisticRegression,,,,,,0.44711501560285816,LogisticRegression,COMPLETE
37,1.1002926698587248,2026-02-27 17:39:13.795857,2026-02-27 17:39:16.945962,0 days 00:00:03.150105,,,,,,,,RandomForest,9.0,sqrt,31.0,17.0,750.0,0.005232189705568283,RandomForest,COMPLETE
38,1.0997369512154314,2026-02-27 17:39:16.946960,2026-02-27 17:39:19.526285,0 days 00:00:02.579325,,,,,,,,RandomForest,7.0,,38.0,30.0,550.0,0.00397927465560272,RandomForest,COMPLETE
39,1.1492046096066113,2026-02-27 17:39:19.528285,2026-02-27 17:39:20.145109,0 days 00:00:00.616824,0.09798754082738499,5.0,39.0,200.0,0.7066432400266448,,,GradientBoosting,,,,,,0.09209238175207575,GradientBoosting,COMPLETE
40,2.1314978156278435,2026-02-27 17:39:20.145971,2026-02-27 17:39:20.166267,0 days 00:00:00.020296,,,,,,83.82733744963468,lbfgs,LogisticRegression,,,,,,1.9966136265144336,LogisticRegression,COMPLETE
41,1.0995122776422035,2026-02-27 17:39:20.166267,2026-02-27 17:39:22.597150,0 days 00:00:02.430883,,,,,,,,RandomForest,5.0,log2,23.0,30.0,650.0,0.0035807238309109855,RandomForest,COMPLETE
42,1.0995122776422037,2026-02-27 17:39:22.598205,2026-02-27 17:39:25.048776,0 days 00:00:02.450571,,,,,,,,RandomForest,5.0,log2,24.0,30.0,650.0,0.003580723830911027,RandomForest,COMPLETE
43,1.0995122776422037,2026-02-27 17:39:25.050280,2026-02-27 17:39:27.545848,0 days 00:00:02.495568,,,,,,,,RandomForest,5.0,log2,23.0,30.0,650.0,0.003580723830911049,RandomForest,COMPLETE
44,1.0995122776422037,2026-02-27 17:39:27.546848,2026-02-27 17:39:30.573673,0 days 00:00:03.026825,,,,,,,,RandomForest,5.0,log2,28.0,26.0,650.0,0.003580723830911027,RandomForest,COMPLETE
45,1.0997369512154314,2026-02-27 17:39:30.574676,2026-02-27 17:39:32.885462,0 days 00:00:02.310786,,,,,,,,RandomForest,7.0,log2,31.0,30.0,550.0,0.0039792746556028885,RandomForest,COMPLETE
46,1.123725109181699,2026-02-27 17:39:32.886463,2026-02-27 17:39:35.561559,0 days 00:00:02.675096,,,,,,,,RandomForest,3.0,sqrt,8.0,26.0,700.0,0.03158918433251732,RandomForest,COMPLETE
47,1.1001673539455636,2026-02-27 17:39:35.562562,2026-02-27 17:39:38.226098,0 days 00:00:02.663536,,,,,,,,RandomForest,6.0,log2,18.0,30.0,700.0,0.0041621912321600655,RandomForest,COMPLETE
48,1.1182640764686205,2026-02-27 17:39:38.227098,2026-02-27 17:39:38.236278,0 days 00:00:00.009180,,,,,,0.10900458545827559,saga,LogisticRegression,,,,,,0.16957272397135995,LogisticRegression,COMPLETE
49,1.0997369512154314,2026-02-27 17:39:38.237266,2026-02-27 17:39:40.428027,0 days 00:00:02.190761,,,,,,,,RandomForest,5.0,sqrt,31.0,26.0,550.0,0.0039792746556027905,RandomForest,COMPLETE
