number,value,datetime_start,datetime_complete,duration,params_gb_learning_rate,params_gb_max_depth,params_gb_min_samples_leaf,params_gb_n_estimators,params_gb_subsample,params_lr_C,params_lr_solver,params_model_type,params_rf_max_depth,params_rf_max_features,params_rf_min_samples_leaf,params_rf_min_samples_split,params_rf_n_estimators,user_attrs_log_loss_std,user_attrs_model_type,state
13,1.007849776775786,2026-02-27 23:41:28.538103,2026-02-27 23:41:28.562687,0 days 00:00:00.024584,,,,,,3.0264768457515636,saga,LogisticRegression,,,,,,0.02877543253470923,LogisticRegression,COMPLETE
14,1.0077652601808753,2026-02-27 23:41:28.563687,2026-02-27 23:41:28.584653,0 days 00:00:00.020966,,,,,,1.0862289420171278,saga,LogisticRegression,,,,,,0.02852408811215638,LogisticRegression,COMPLETE
15,1.0077724111755972,2026-02-27 23:41:28.585658,2026-02-27 23:41:28.608451,0 days 00:00:00.022793,,,,,,1.1946914155134625,saga,LogisticRegression,,,,,,0.02855498367141239,LogisticRegression,COMPLETE
16,1.0077630622698501,2026-02-27 23:41:28.609455,2026-02-27 23:41:28.629187,0 days 00:00:00.019732,,,,,,0.5580745250146835,saga,LogisticRegression,,,,,,0.028270999123150682,LogisticRegression,COMPLETE
17,1.5519255681452178,2026-02-27 23:41:28.630188,2026-02-27 23:41:30.072994,0 days 00:00:01.442806,0.28560777949741245,6.0,27.0,350.0,0.8056891692692755,,,GradientBoosting,,,,,,,,PRUNED
18,1.0084818831397593,2026-02-27 23:41:30.073994,2026-02-27 23:41:30.094691,0 days 00:00:00.020697,,,,,,0.19232484810231967,saga,LogisticRegression,,,,,,0.0279365333308517,LogisticRegression,COMPLETE
19,1.007759004359942,2026-02-27 23:41:30.095207,2026-02-27 23:41:30.121224,0 days 00:00:00.026017,,,,,,0.6322376468148807,lbfgs,LogisticRegression,,,,,,0.028325563195792235,LogisticRegression,COMPLETE
20,1.0506464471850125,2026-02-27 23:41:30.121809,2026-02-27 23:41:31.128484,0 days 00:00:01.006675,0.04815035925095871,2.0,29.0,300.0,0.8066305882008067,,,GradientBoosting,,,,,,,,PRUNED
21,1.0077581747537974,2026-02-27 23:41:31.130118,2026-02-27 23:41:31.165223,0 days 00:00:00.035105,,,,,,0.6207046521404258,lbfgs,LogisticRegression,,,,,,0.028318439483697982,LogisticRegression,COMPLETE
22,1.0125341664282228,2026-02-27 23:41:31.165223,2026-02-27 23:41:31.180407,0 days 00:00:00.015184,,,,,,0.12259893650453046,lbfgs,LogisticRegression,,,,,,,,PRUNED
23,1.0077657456968365,2026-02-27 23:41:31.181909,2026-02-27 23:41:31.210292,0 days 00:00:00.028383,,,,,,0.9780996818108026,lbfgs,LogisticRegression,,,,,,0.02849403372267491,LogisticRegression,COMPLETE
24,1.0110558702013477,2026-02-27 23:41:31.211286,2026-02-27 23:41:31.225636,0 days 00:00:00.014350,,,,,,0.26913302403778533,lbfgs,LogisticRegression,,,,,,,,PRUNED
25,1.0078329597336233,2026-02-27 23:41:31.225636,2026-02-27 23:41:31.253745,0 days 00:00:00.028109,,,,,,2.295165264132979,lbfgs,LogisticRegression,,,,,,0.028728753681641222,LogisticRegression,COMPLETE
26,1.017865327505626,2026-02-27 23:41:31.254751,2026-02-27 23:41:31.269030,0 days 00:00:00.014279,,,,,,0.04364420704229611,lbfgs,LogisticRegression,,,,,,,,PRUNED
27,1.0105415459450036,2026-02-27 23:41:31.270006,2026-02-27 23:41:31.286889,0 days 00:00:00.016883,,,,,,0.532153767857157,lbfgs,LogisticRegression,,,,,,,,PRUNED
28,1.1527828911409113,2026-02-27 23:41:31.288395,2026-02-27 23:41:34.049624,0 days 00:00:02.761229,0.02559184286777954,7.0,15.0,600.0,0.6856810020208391,,,GradientBoosting,,,,,,,,PRUNED
29,1.0078746631170206,2026-02-27 23:41:34.050621,2026-02-27 23:41:34.083375,0 days 00:00:00.032754,,,,,,4.246253815950237,lbfgs,LogisticRegression,,,,,,0.02882715136658556,LogisticRegression,COMPLETE
30,1.0628121964034867,2026-02-27 23:41:34.084877,2026-02-27 23:41:34.609206,0 days 00:00:00.524329,,,,,,,,RandomForest,15.0,log2,47.0,19.0,150.0,,,PRUNED
31,0.9663649368731851,2026-02-27 23:41:34.610206,2026-02-27 23:41:34.630201,0 days 00:00:00.019995,,,,,,0.6079529134440624,saga,LogisticRegression,,,,,,,,PRUNED
32,1.0077537232218625,2026-02-27 23:41:34.631191,2026-02-27 23:41:34.653818,0 days 00:00:00.022627,,,,,,0.8943916970436562,saga,LogisticRegression,,,,,,0.028456254064618925,LogisticRegression,COMPLETE
33,1.0108917738220948,2026-02-27 23:41:34.654828,2026-02-27 23:41:34.669734,0 days 00:00:00.014906,,,,,,0.3162963290243264,lbfgs,LogisticRegression,,,,,,,,PRUNED
34,1.0077817017243387,2026-02-27 23:41:34.669734,2026-02-27 23:41:34.691587,0 days 00:00:00.021853,,,,,,1.3383678252605775,saga,LogisticRegression,,,,,,0.02858975197015973,LogisticRegression,COMPLETE
35,1.0108943905876004,2026-02-27 23:41:34.692590,2026-02-27 23:41:34.702696,0 days 00:00:00.010106,,,,,,0.3071607685112285,saga,LogisticRegression,,,,,,,,PRUNED
36,1.0462545376663797,2026-02-27 23:41:34.703739,2026-02-27 23:41:36.350239,0 days 00:00:01.646500,,,,,,,,RandomForest,10.0,,26.0,30.0,550.0,,,PRUNED
37,1.0078411710518922,2026-02-27 23:41:36.351240,2026-02-27 23:41:36.375991,0 days 00:00:00.024751,,,,,,2.690243112922837,lbfgs,LogisticRegression,,,,,,0.028755439288759507,LogisticRegression,COMPLETE
38,1.0116038584361486,2026-02-27 23:41:36.375991,2026-02-27 23:41:36.391171,0 days 00:00:00.015180,,,,,,0.18368265255819463,lbfgs,LogisticRegression,,,,,,,,PRUNED
39,1.0942992102468347,2026-02-27 23:41:36.392187,2026-02-27 23:41:37.131214,0 days 00:00:00.739027,0.13316258553294824,5.0,45.0,200.0,0.9088503597432921,,,GradientBoosting,,,,,,,,PRUNED
40,1.056887509207922,2026-02-27 23:41:37.131214,2026-02-27 23:41:37.461528,0 days 00:00:00.330314,,,,,,,,RandomForest,3.0,log2,37.0,19.0,100.0,,,PRUNED
41,1.0077705661168443,2026-02-27 23:41:37.462526,2026-02-27 23:41:37.481030,0 days 00:00:00.018504,,,,,,1.1667268414772696,saga,LogisticRegression,,,,,,0.028547443262189356,LogisticRegression,COMPLETE
42,1.0077544749256966,2026-02-27 23:41:37.482030,2026-02-27 23:41:37.502306,0 days 00:00:00.020276,,,,,,0.9089954811745822,saga,LogisticRegression,,,,,,0.0284621393632004,LogisticRegression,COMPLETE
43,1.010428574904571,2026-02-27 23:41:37.503306,2026-02-27 23:41:37.516674,0 days 00:00:00.013368,,,,,,0.6642000192056632,saga,LogisticRegression,,,,,,,,PRUNED
44,1.01037870817675,2026-02-27 23:41:37.516674,2026-02-27 23:41:37.529149,0 days 00:00:00.012475,,,,,,0.7733691024389914,saga,LogisticRegression,,,,,,,,PRUNED
45,1.012097917020729,2026-02-27 23:41:37.530162,2026-02-27 23:41:37.539626,0 days 00:00:00.009464,,,,,,0.14308439547922785,saga,LogisticRegression,,,,,,,,PRUNED
46,1.0078633464852922,2026-02-27 23:41:37.539626,2026-02-27 23:41:37.561246,0 days 00:00:00.021620,,,,,,3.7113088756557358,saga,LogisticRegression,,,,,,0.02880617173286263,LogisticRegression,COMPLETE
47,1.0105618419265647,2026-02-27 23:41:37.562245,2026-02-27 23:41:37.572150,0 days 00:00:00.009905,,,,,,0.48946044575673503,saga,LogisticRegression,,,,,,,,PRUNED
48,1.0567929324883407,2026-02-27 23:41:37.572693,2026-02-27 23:41:38.757267,0 days 00:00:01.184574,,,,,,,,RandomForest,11.0,,49.0,15.0,400.0,,,PRUNED
49,1.010407203664243,2026-02-27 23:41:38.758272,2026-02-27 23:41:38.771404,0 days 00:00:00.013132,,,,,,0.7875232417820259,lbfgs,LogisticRegression,,,,,,,,PRUNED
